STATION,NAME,DATE,AWND,PRCP,TAVG,TMAX,TMIN,FOG,HEAVY FOG,THUNDER,ICE PELLETS,HAIL,SMOKE OR HAZE
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-18,5.82,0.00,80,90,69,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-19,8.95,2.33,75,78,70,1,,1,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-20,8.95,0.39,74,84,70,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-21,9.62,0.72,78,86,72,1,,1,,,1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-22,8.95,0.36,74,81,67,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-23,5.59,0.00,73,84,62,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-24,9.84,0.00,76,83,69,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-25,6.49,0.00,75,83,66,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-26,6.93,0.17,76,86,67,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-27,6.93,0.00,78,87,72,1,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-28,5.82,0.00,80,89,73,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-29,8.50,0.25,79,86,73,1,,,,,1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-06-30,5.82,0.05,80,89,71,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-07-01,6.26,0.00,78,87,70,,,,,,
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-07-02,6.93,0.77,76,81,73,1,,,,,1
USW00013874,"ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US",2021-07-03,6.93,0.00,76,84,67,,,,,,
